Timestamp,What is your age?,What is your gender?,In which area do you stay in western line in Mumbai?,Your yearly income in INR,Do you own a house?,Where is your house located?,What is the carpet area of your current house in square feet?,How many rooms do you have?,What is the current price of your house in INR?,What facilities are available in your current society?,What all facilities are currently available in your nearby area?,Are you planning to buy a new house in Mumbai(Western Line)?,Would you take a housing loan if you had to buy a house?,In which area you would like to buy a new house in Mumbai(Western Line) if you had to?,What type of house you would look for if you had to buy a house?,What would be your budget if you had to buy a house?,How much carpet area would you want(square feet) if you had to buy a house?,How many rooms do you want if you had to buy a house?,If you had to buy a house what would you buy?,What facilities you would like a society to feature?,What all facilities you want nearby your area?
4/10/2021 11:40:17,56 - 65,Female,Malad,7lakh - 9lakh,No,,,,,,,Yes,Yes,Virar,Building,20lakh - 30lakh,710,1 BHK,Resale House,"Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/11/2021 12:19:24,46 - 55,Male,Marine Lines,9lakh - 11lakh,Yes,Building,1318,3 BHK,70000000,"Car Parking, Maintenance Staff, Lift, 24Hr Security","Medical, Railway Station, Market",No,Yes,Mumbai Central,Building,6Cr - 7Cr,1800,4 BHK,Resale House,"Car Parking, Maintenance Staff, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/11/2021 23:16:41,56 - 65,Male,Matunga Road,9lakh - 11lakh,Yes,Building,1130,3 BHK,53000000,"24hr Water Supply, Gas Pipeline, Lift, Gym","School, College, Hospitals, Medical, Railway Station, Market",No,No,Dadar,Building,3Cr - 4Cr,1240,2 BHK,Resale House,"Car Parking, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/11/2021 23:09:48,46 - 55,Female,Matunga Road,3lakh - 5lakh,Yes,Building,560,1 BHK,18000000,"24hr Water Supply, Gas Pipeline, Lift, Gym","School, College, Hospitals, Medical, Railway Station, Market",Yes,No,Dadar,Bungalow,1Cr - 2Cr,980,2 BHK,Resale House,"Car Parking, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/11/2021 12:42:35,56 - 65,Male,Matunga Road,7lakh - 9lakh,Yes,Building,1170,3 BHK,51500000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market",No,Yes,Kandivali,Row House,2Cr - 3Cr,2000,3 BHK,Resale House,"Car Parking, Gas Pipeline","Hospitals, Medical, Railway Station, Market"
4/11/2021 12:38:45,56 - 65,Male,Matunga Road,7lakh - 9lakh,Yes,Building,675,1 BHK,25000000,"Car Parking, Lift","Hospitals, Medical, Railway Station, Market",No,Yes,Borivali,Bungalow,80lakh-90lakh,1500,3 BHK,Resale House,"Car Parking, Gas Pipeline","School, College, Hospitals, Medical, Railway Station, Market"
4/8/2021 21:05:48,36 - 45,Male,Matunga Road,5lakh - 7lakh,Yes,Building,610,1 BHK,13500000,Lift,Market,Yes,Yes,Bandra,Building,1Cr - 2Cr,610,1 BHK,New House,"24hr Water Supply, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/8/2021 19:49:56,36 - 45,Male,Matunga Road,5lakh - 7lakh,Yes,Building,777,2 BHK,35500000,"24hr Water Supply, Gas Pipeline, Lift, Gym","Medical, Market",No,Yes,Dadar,Building,3Cr - 4Cr,750,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/4/2021 13:47:57,25 - 35,Female,Matunga Road,1lakh - 3lakh,Yes,Building,684,1 BHK,20000000,"Car Parking, 24hr Water Supply, Lift","School, Hospitals, Medical, Railway Station",No,Yes,Marine Lines,Building,1Cr - 2Cr,700,1 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/4/2021 12:54:19,25 - 35,Female,Matunga Road,1lakh - 3lakh,No,,,,,,,No,No,Churchgate,Bungalow,40lakh - 50lakh,1000,4 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/4/2021 13:54:32,25 - 35,Female,Mira Road,3lakh - 5lakh,No,,,,,,,No,No,Mira Road,Bungalow,40lakh - 50lakh,1500,3 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","School, College, Hospitals, Medical, Railway Station, Market"
4/8/2021 21:12:53,36 - 45,Male,Mumbai Central,5lakh - 7lakh,Yes,Building,530,1 BHK,3200000,"Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","School, Market",Yes,Yes,Lower Parel,Building,1Cr - 2Cr,625,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","School, College, Hospitals, Medical, Railway Station, Market"
4/8/2021 21:09:41,46 - 55,Male,Mumbai Central,5lakh - 7lakh,Yes,Building,1115,2 BHK,5800000,"Car Parking, Maintenance Staff, Gym","Medical, Railway Station",No,No,Dadar,Building,90lakh- 1Cr,810,2 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
